variable,GVIF,Df,GVIF_ajustado,problema_multicolinealidad
Gender,1.0173495206304575,1,1.0086374574793748,NO
Age,1.0597313060796085,6,1.0048463215420982,NO
City_Category,1.0466108160753875,2,1.0114543922120833,NO
Product_Category_1,1.0332876947122172,19,1.0008620991687907,NO
